imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0063736,Un film comme les autres,Un film comme les autres,1968,1968-12-29,Drama,120,France,French,Jean-Luc Godard,Jean-Luc Godard,Anouchka Films,,Workers on a car factory argue with revolutionary students.,5.6,272,,,,,,6.0
tt0084597,Richard Pryor: Live on the Sunset Strip,Richard Pryor: Live on the Sunset Strip,1982,1982-03-12,Comedy,82,USA,English,Joe Layton,Richard Pryor,Columbia Pictures,Richard Pryor,Richard Pryor performs his stand-up comedy act on the Sunset Strip.,7.7,3694,,$ 36299720,$ 36299720,,16.0,15.0
tt0085571,Funny People 2,Funny People 2,1983,1983-10-27,Comedy,85,South Africa,English,Jamie Uys,,Mimosa Films,Joe Stewardson,More candid camera pranks.,5.8,161,,,,,2.0,
tt0089918,Richard Pryor: Live and Smokin',Richard Pryor: Live and Smokin',1971,1971-04-29,Comedy,48,USA,English,Michael Blum,Richard Pryor,,Richard Pryor,Richard Pryor delivering his one-of-a-kind routine. One of his earliest live performances in 1971 at the Improvisation in New York.,6.6,989,,,,,7.0,5.0
tt0125954,Non Stop,Non Stop,1981,1981,Musical,85,Romania,Romanian,Manole Marcus,,,Mitica Popescu,An air marshal tries to stop a terrorist on a plane.,7.0,468,,,,,,
tt0206235,Quick Billy,Quick Billy,1971,1971-03-25,Drama,56,USA,English,Bruce Baillie,,,,A montage of images of film making is followed by a silent western story.,7.0,120,,,,,,
tt0225346,Cartoon Noir,Cartoon Noir,1999,1999-12-03,Animation,83,USA,English,,,,,,6.1,170,,,,,3.0,6.0
tt0245333,Ondu Muthina Kathe,Ondu Muthina Kathe,1987,1987,Drama,131,India,Kannada,Shankar Nag,,,Rajkumar,Ondu muttina kathe is based on a tribal community in the coastal area of karnataka,7.5,148,,,,,,
tt1488556,Cletaraxia,Cletaraxia,2009,2009-07-24,Drama,99,Mexico,Spanish,Diego de la Mattaz,Diego de la Mattaz,DDLM'S Cinema,,,1.5,282,,,,,4.0,
tt1502406,Ruzhaye sabz,Ruzhaye sabz,2009,2009-09-11,Drama,73,Iran,,Hana Makhmalbaf,Hana Makhmalbaf,,,A playwright Iran tries to confront a creative crisis while political clashes erupt during her country's 2009 election.,6.1,118,,,$ 320868,,,1.0
tt3827958,Shellmont,Shellmont,2019,2019-03-12,Horror,92,,,Gus Trapani,Gus Trapani,Screw Loose Productions,Rob Servidone,The sheriff of a small southern town struggles to keep it's occupants safe when a masked maniac begins taking lives.,6.0,195,,,,,1.0,3.0
tt3978706,These Words Must Be on Your Heart,These Words Must Be on Your Heart,2014,2014,Drama,69,USA,English,,,Watchtower Bible & Tract Society of New York,,Thomas Roman struggles to figure out why he doesn't know anything about his family. It isn't until his family invites a couple to live in his basement apartment that they help him to see ...,8.7,120,,,,,1.0,
tt4251266,The Prodigal Returns,The Prodigal Returns,2013,2013,Drama,104,USA,English,,,Watchtower Bible & Tract Society of New York,,A young Christian man grows tired of working for his father's construction business and takes for a job with a large software company in am the city. He quickly grows frustrated with the ...,7.5,154,,,,,4.0,
tt5339586,Mike Epps: Don't Take It Personal,Mike Epps: Don't Take It Personal,2015,2015-12-18,Comedy,59,USA,English,L. Frazier,,Netflix,Mike Epps,Mike Epps tears up the stage at L.A.'s historic Orpheum Theatre in a special packed with blistering impressions and unapologetically raunchy swagger.,4.3,224,,,,,3.0,
tt5440848,Bugs Bunny: Looney Tunes Cartoons 1942-1943 - Golden-Era Collection,Bugs Bunny: Looney Tunes Cartoons 1942-1943 - Golden-Era Collection,2016,2016-01-01,Animation,56,USA,English,,,,,This collection contains 8 classic Bugs Bunny cartoons from 1942-1943. All cartoons have been digitally remastered from the best possible sources. 1. Case of the Missing Hare (1942) 2. The ...,8.5,557,,,,,1.0,
tt6138084,Titanic Review,Titanic Review,2012,2012-12-09,Comedy,61,USA,English,Mike Stoklasa,Mike Stoklasa,Red Letter Media,Mike Stoklasa,Harry Plinkett explains why Titanic is both the best movie ever made and the worst movie ever made.,8.5,463,,,,,,
